Date,Open,High,Low,Close,Adj Close,Volume
2010-05-24,15.692308,15.759615,15.355769,15.394231,11.463286,77094888
2010-05-25,14.903846,15.355769,14.663462,15.336538,11.420326,127122216
2010-05-26,15.721154,15.855769,15.355769,15.394231,11.463286,86610680
2010-05-27,15.788462,16.038462,15.519231,16.019232,11.928688,72923032
2010-05-28,16.019232,16.048077,15.538462,15.721154,11.706728,73198632
2010-06-01,15.615385,15.875000,15.317308,15.365385,11.441803,76053120
2010-06-02,15.538462,15.759615,15.336538,15.721154,11.706728,65362856
2010-06-03,15.778846,15.846154,15.605769,15.817308,11.778330,53910480
2010-06-04,15.461538,15.461538,14.961538,15.105769,11.248481,118996904
2010-06-07,15.125000,15.144231,14.778846,14.817308,11.033682,76144744
2010-06-08,14.865385,14.951923,14.471154,14.884615,11.083805,92951664
2010-06-09,14.980769,15.096154,14.634615,14.730769,10.969238,69527744
2010-06-10,14.990385,15.259615,14.923077,15.076923,11.227003,81760536
2010-06-11,14.932692,15.009615,14.778846,14.961538,11.141080,73685768
2010-06-14,15.163462,15.269231,14.759615,14.798077,11.019361,78763776
2010-06-15,14.923077,15.240385,14.769231,15.182692,11.305760,82251936
2010-06-16,15.105769,15.471154,15.019231,15.240385,11.348724,90113712
2010-06-17,15.259615,15.317308,15.048077,15.298077,11.464009,59322744
2010-06-18,15.384615,15.432692,15.250000,15.336538,11.492835,61701952
2010-06-21,15.586538,15.817308,15.413462,15.480769,11.600916,74070360
2010-06-22,15.471154,15.548077,15.163462,15.182692,11.377543,67582008
2010-06-23,15.153846,15.278846,14.778846,14.798077,11.089325,101477064
2010-06-24,14.788462,14.855769,14.423077,14.500000,10.865954,100150960
2010-06-25,14.538462,14.567308,14.250000,14.336538,10.743457,139598784
2010-06-28,14.384615,14.625000,14.336538,14.423077,10.808309,62863736
2010-06-29,14.182692,14.221154,13.721154,13.923077,10.433622,119501096
2010-06-30,13.913462,14.125000,13.798077,13.865385,10.390386,84830928
2010-07-01,13.778846,13.875000,13.336538,13.576923,10.174222,111360808
2010-07-02,13.615385,13.711538,13.221154,13.346154,10.001288,81686384
2010-07-06,13.567308,13.759615,13.278846,13.432692,10.066137,80240888
2010-07-07,13.451923,14.096154,13.423077,14.057692,10.534496,95379856
2010-07-08,14.298077,14.586538,14.009615,14.259615,10.685815,91964184
